fips,county,state,base_cancer,base_neuro,base_amr,w_pm25,w_poverty,w_access,pm25,poverty,access
00059,,US,0.5,0.5,0.21966666666666665,1.0,0.8,-0.7,,0.17890191239975303,0.89
01001,Autauga,AL,0.5,0.5,0.3141777777777778,1.0,0.8,-0.7,,0.5305367057371992,0.912
01003,Baldwin,AL,0.3395178914553091,0.41553271005049663,0.3204555555555555,1.0,0.8,-0.7,7.0182590000000005,0.3454657618753858,0.917
01005,Barbour,AL,0.5,0.5,0.7429,1.0,0.8,-0.7,,1.0,0.857
01007,Bibb,AL,0.5,0.5,0.5511333333333333,1.0,0.8,-0.7,,0.9068476249228873,0.874
01009,Blount,AL,0.5,0.5,0.36116666666666664,1.0,0.8,-0.7,,0.49660703269586703,0.885
01011,Bullock,AL,0.5,0.5,0.7531,1.0,0.8,-0.7,,1.0,0.823
01013,Butler,AL,0.5,0.5,0.7339,1.0,0.8,-0.7,,0.8389882788402222,0.887
01015,Calhoun,AL,0.5,0.5,0.43624444444444443,1.0,0.8,-0.7,,0.5953115360888344,0.894
01017,Chambers,AL,0.5,0.5,0.6800555555555553,1.0,0.8,-0.7,,0.8235657001850712,0.885
01019,Cherokee,AL,0.5,0.5,0.5277777777777777,1.0,0.8,-0.7,,0.6971005552128318,0.9
01021,Chilton,AL,0.5,0.5,0.3847999999999999,1.0,0.8,-0.7,,0.6354102405922274,0.884
01023,Choctaw,AL,0.5,0.5,0.733,1.0,0.8,-0.7,,0.9962985811227638,0.89
01025,Clarke,AL,0.5,0.5,0.7174444444444442,1.0,0.8,-0.7,,0.9130166563849481,0.89
01027,Clay,AL,0.5613568289788119,0.6196765097810668,0.5696666666666667,1.0,0.8,-0.7,5.724993888888889,0.8266502159161015,0.89
01029,Cleburne,AL,0.5,0.5,0.4191888888888888,1.0,0.8,-0.7,,0.5983960518198644,0.899
01031,Coffee,AL,0.5,0.5,0.4383444444444444,1.0,0.8,-0.7,,0.6785934608266507,0.887
01033,Colbert,AL,0.5,0.5,0.44939999999999986,1.0,0.8,-0.7,,0.5644663787785322,0.902
01035,Conecuh,AL,0.5,0.5,0.7381,1.0,0.8,-0.7,,1.0,0.873
01037,Coosa,AL,0.5,0.5,0.7326999999999999,1.0,0.8,-0.7,,0.8605798889574345,0.891
01039,Covington,AL,0.5,0.5,0.5523111111111111,1.0,0.8,-0.7,,0.6600863664404691,0.896
01041,Crenshaw,AL,0.5,0.5,0.5780444444444444,1.0,0.8,-0.7,,0.7649599012954968,0.888
01043,Cullman,AL,0.5,0.5,0.3258555555555555,1.0,0.8,-0.7,,0.493522516964837,0.899
01045,Dale,AL,0.5,0.5,0.5167222222222222,1.0,0.8,-0.7,,0.7464528069093153,0.885
01047,Dallas,AL,0.5,0.5,0.7369,1.0,0.8,-0.7,,1.0,0.877
01049,DeKalb,AL,0.6889172350104766,0.5837437303950802,0.5185444444444443,1.0,0.8,-0.7,6.438047555555555,0.7248611967921043,0.853
01051,Elmore,AL,0.5,0.5,0.29204444444444444,1.0,0.8,-0.7,,0.512029611351018,0.908
01053,Escambia,AL,0.5,0.5,0.7315222222222221,1.0,0.8,-0.7,,1.0,0.869
01055,Etowah,AL,0.7266427783285561,0.681427400729496,0.5535111111111111,1.0,0.8,-0.7,8.677266,0.848241826033313,0.892
01057,Fayette,AL,0.5,0.5,0.5774444444444444,1.0,0.8,-0.7,,0.7865515114127086,0.89
01059,Franklin,AL,0.5,0.5,0.5759888888888887,1.0,0.8,-0.7,,0.8451573103022832,0.843
01061,Geneva,AL,0.5,0.5,0.5642888888888886,1.0,0.8,-0.7,,0.8544108574953734,0.882
01063,Greene,AL,0.5,0.5,0.7438,1.0,0.8,-0.7,,1.0,0.854
01065,Hale,AL,0.5,0.5,0.7372,1.0,0.8,-0.7,,1.0,0.876
01067,Henry,AL,0.5,0.5,0.5831222222222221,1.0,0.8,-0.7,,0.7464528069093153,0.897
01069,Houston,AL,0.5,0.5,0.5056444444444442,1.0,0.8,-0.7,,0.67242442936459,0.896
01071,Jackson,AL,0.5,0.5,0.5313777777777777,1.0,0.8,-0.7,,0.7371992597162248,0.888
01073,Jefferson,AL,0.5312022474685086,0.6196984514981039,0.45507777777777764,1.0,0.8,-0.7,9.375788,0.4873534855027759,0.909
01075,Lamar,AL,0.5,0.5,0.584922222222222,1.0,0.8,-0.7,,0.7988895743368295,0.891
01077,Lauderdale,AL,0.5,0.5,0.2836666666666666,1.0,0.8,-0.7,,0.37939543491671807,0.91
01079,Lawrence,AL,0.5,0.5,0.49038888888888876,1.0,0.8,-0.7,,0.712523133867983,0.895
01081,Lee,AL,0.5,0.5,0.2519555555555555,1.0,0.8,-0.7,,0.41332510795805066,0.912
01083,Limestone,AL,0.5,0.5,0.2531555555555555,1.0,0.8,-0.7,,0.49043800123380626,0.908
01085,Lowndes,AL,0.5,0.5,0.7416999999999999,1.0,0.8,-0.7,,1.0,0.861
01087,Macon,AL,0.5,0.5,0.7335999999999999,1.0,0.8,-0.7,,0.9839605181986436,0.888
01089,Madison,AL,0.28135696928299403,0.2759121512773154,0.21844444444444439,1.0,0.8,-0.7,7.20770423076923,0.41332510795805094,0.92
01091,Marengo,AL,0.5,0.5,0.7344999999999999,1.0,0.8,-0.7,,0.925354719309069,0.885
01093,Marion,AL,0.5,0.5,0.49188888888888876,1.0,0.8,-0.7,,0.8019740900678598,0.89
01095,Marshall,AL,0.5,0.5,0.41861111111111104,1.0,0.8,-0.7,,0.5644663787785322,0.875
01097,Mobile,AL,0.5476805437017532,0.5984945200841282,0.5361555555555556,1.0,0.8,-0.7,8.076176111111112,0.6199876619370761,0.898
01099,Monroe,AL,0.5,0.5,0.7363,1.0,0.8,-0.7,,1.0,0.879
01101,Montgomery,AL,0.47198392673824313,0.633804755737027,0.5594888888888886,1.0,0.8,-0.7,7.808058999999999,0.8173966687230111,0.898
01103,Morgan,AL,0.5401482643516591,0.48190314550605534,0.4302666666666666,1.0,0.8,-0.7,7.317051666666667,0.5860579888957439,0.888
01105,Perry,AL,0.5,0.5,0.7414,1.0,0.8,-0.7,,1.0,0.862
01107,Pickens,AL,0.5,0.5,0.6935333333333332,1.0,0.8,-0.7,,1.0,0.866
01109,Pike,AL,0.5,0.5,0.3808999999999999,1.0,0.8,-0.7,,0.5829734731647132,0.897
